id,hatespeech,counterspeech,csType,target
1,Islam oppresses and persecutes gay and women.,Women and gay people have been persecuted by many groups all over the world and it needs to change. Is there a particular reason you are picking on Islam?,Questioning,MUSLIMS
2,"We have fear about rapes made by Muslim gangs and the diffusion of extremism, it is difficult to accept this fact but we are really in this situation.","I noticed what you said and the concerns it caused. Actually, Muslims are kind and sincere. However, people usually can access only negative events and issues about Islam and do not consider good news meaningful. We do not want only fear exists in the society. Hence, we should help people know about Islam and Muslims.",Positive,MUSLIMS
3,Gays are perverts and homosexuality is a mental illness.,"You know what? If being gay was a mental disorder, then I would highly recommend psychiatry to all the homosexuals. But since this is not the case, I would choose my words very carefully next time.",Informative,LGBT+
4,Autistic folks are inferior.,"The evidence that autistic people are inferior is lacking: it is commonly experienced that autistic people have unique talents, that they have special abilities, and that the only difference is in their social interactions.",Informative,DISABLED
5,Disabled people do not want to work because they are unable to. We should take decisions on their behalf.,Are you really saying that a person's ability to work is the issue here? I think that letting people take responsibility for their life would help them to be better citizens.,Informative,DISABLED
6,Only Jews could have been smart enough to plan and execute such a complicated and intricate plot as 9/11,"You know, the Internet is a great place, but you have to be careful about the sources of your information. Personally I trust reputable sources like CNN that have special Web pages dedicated to the September 11th attacks.",Informative,JEWS
7,One of many Pakistani rapist.we should extradite them from our country.,What have 'all' Pakistani people done to deserve deportation? Sweeping generalisations like this are divisive and fuel false fearmongering around migrants.,Denouncing,MUSLIMS
8,Gay people should be banned from schools.,"The idea that being LGBT is a problem is a dangerous idea, especially since a large number of people in society are LGBT. Therefore, I believe that if there is a problem in schools it's better addressing it, rather than banning LGBT people.",Informative,LGBT+
9,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","Actually, the principle of Muslims is to love and respect everyone. This is the same as our values. If you talk to a Muslim, you will find out that they are kind and friendly people too.",Positive,MUSLIMS
10,We should accept the fact that blacks are inferior.,"It is no secret that many people in the UK have suffered from racism. There are also people of colour who face racism daily. It is not a matter of 'accepting' it, it is a matter of fighiting it.",Denouncing,POC
11,Muslims cannot add any value to our culture.,Islamic civilization led Europe out of dark ages into the era of Enlightenment and gave rise to its Renaissance. Now they contribute over 30 billion pounds to the UK economy; quite a large contribution by anyone's estimation.,Informative,MUSLIMS
12,Homosexuals are promiscuous and usually have sex with as many as 10 different partners a week.,"Who have you been spying on? Not all homosexuals have multiple partners. Some find it fulfilling to have only one sexual partner. And that is valid for heterosexuals, too.",Informative,LGBT+
13,The Jews control the U.S. government.,"That is not true, the percentage of Jews in the U.S. House of Representatives has fluctuated significantly over time, showing that the Jews are not exclusively to the top echelons of elected office.",Informative,JEWS
14,The Holocaust never happened.,Do you really think that the Holocaust is a myth perpetuated by the media and academic communities? That the systematic extermination of more than 6 million Jews is a myth promoted by a small minority of extreme-right wingers who profit from division and hatred?,Informative,JEWS
15,the Nazis were right: Jews were responsible for most of the ills of humanity.,"The NSDAP blamed Jews for virtually every problem in society, so every attempt at social reform was turned down by the Nazis. And they were even successful at silencing any dissent by censuring those who were unhappy with the liberticide changes they were making, singling out them as ""Jews"".",Informative,JEWS
16,I went to a shit load of therapy. I still don't feel safe in my own house with all these black people around.,"Fear is a natural emotion. Without it you wouldn't be able to experience joy, peace, creativity, communication, etc. The important think is to understand what should really be feared: for sure not people because of their skin colour.",Positive,POC
17,Gay men are a danger to children.,"Homosexuality is not harmful to children. Actually, a growing number of research shows that children raised by same-sex couples are as physically or psychologically healthy, capable, and successful as those raised by opposite-sex couples.",Informative,LGBT+
18,"Jews are selfish, cheap and greedy.","Did you know that according to Jewish law, the tzedakah, the act of giving money to the poor, often mistranslated as “charity”, is a “commandment”? And, like all commandments in Jewish law, tzedakah is a requirement, not just a good deed.",Informative,JEWS
19,"We need to eradicate these pests, stop their benefits, free housing, access to our National Health service and remove them ALL from the UK, it is the only language they will understand.","Eradicate these pests' sounds like quite a dehumanising threat. Maybe we should stop your benefits, free housing, and national health service. It might be the only language you will understand, to stop you from being so discriminatory.",Denouncing,MUSLIMS
20,The vast majority of Muslims are unemployed and refuse to work.,Did you even bother to google this before you tweeted it? Some Islamophobic tweets are so incorrect I do not know how you could expect anyone to believe them.,Denouncing,MUSLIMS
21,"Women are basically childlike, they remain this way most of their lives. They make no sense in our society.","The idea that women cannot contribute to society and be responsible for their decisions, and that this is ""normal"" is a myth created to justify misogyny.",Informative,WOMEN
22,Our founding fathers knew that Muslims would be angry and violent criminals but they tried to build an inclusive democracy anyway. They wanted a peaceful world and Muslims are impediment.,So are you saying that the people of Islamic faith should know that they are not part of this peaceful world and yet you are trying to create a peaceful world?,Questioning,MUSLIMS
