hateSpeech,counterSpeech,cnType,Target
Only who cannot understand what Islam and Muslims really are can support it.,The only ones against Islam and Muslims are the ones that that are ignorant about what it truly is.,Denouncing,MUSLIMS
Never break bread with a Quranimal. You risk catching HIV and/or Ebola.,How can you say this about hundreds of millions of people?,Denouncing,MUSLIMS
Has our political elite forgot that were Christians? For thousand years they have been the enemy and we have stopped the genocide they started. And now we encourage that? Let the warriors take care of this because this is the war.,You should ask people what religions they belong to. Most people would say they do not belong to any! Then why are you imposing your religion wars on the society?,Denouncing,MUSLIMS
"Took this in Wanstead, east London. An area with ￡1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but we still bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist'. (Caption to a photo of a homeless person sleeping on a part bench)",How many people walked by and did nothing? Is the problem uncontrolled immigration or indifference of our society?,Question,other
Jewish folks are and have big noses.,"Not all Jews are like that, and some have small noses. They are just like any other person!",Informative,JEWS
Muslims should be taken away from our country because they aren't accepted by anyone.,The negative stereotypes and extreme examples in the media are not representative of all Muslims. Don't believe everything you read.,Informative,MUSLIMS
"The only way we can fight Islam and Sharia is to banish them from the UK. Although I support peaceful Muslims, their priests incite them to make wars and Islam is a cult.","If someone's agitating for war and death, we should deal with them directly. But as you correctly point that out, most of the people are not connected to the offensive statements and are just peaceful Muslims.",Denouncing,MUSLIMS
Everything will be better if Muslims did not exist. Their only contribute to our society is violence.,"A very small percentage of Muslims commit those sins, same as any other religion. Cant generalize it to Muslims who abide by the peaceful teachings of Islam.",Positive,MUSLIMS
Muslims are a problem in many European countries.,"If Muslims are a problem in many countries, then we should help them to integrate.",Positive,MUSLIMS
"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)","Anti-hate organisations are doing brilliant work, and getting rid of hate speech isn't a bad thing.",Positive,other
Afghanistan or maybe Pakistan? I bet this does not look like an English town to you? #saville Town (Text accompanying video footage of people on their way to Friday prayers etc. ),"Small groups of people peacefully gather to pray, but because they do not look like you, you are outraged? Why am I not surprised?",Denouncing,MUSLIMS
The disabled are a burden to society.,"Disabled people are not a burden, they contribute a lot to our society.? There are also many disabled people who are just struggling to live a dignified life with their disability.",Positive,DISABLED
All Muslims are incompatible with any Western society.,"Yes, their teachings of peace and tolerance really are incompatible in this hate-infested, discriminatory, contemporary Western society.",Informative,MUSLIMS
"It appears I cannot criticize islam for being a cult which encourages wars and takes over host nations by any means justified by their scriptures. Can I critisize them for being intolerant, biased, sexist and chauvinist?","Everyone has the right of free speech, while it does not mean anyone can use it to hurt people. Plus, based on what you critisize Islam? I recommend you to read something about true Islam and Muslims. You would find that they are no difference from us.",Informative,MUSLIMS
Italy: Muslim demolishes a statue of Jesus. Italy: Why do we accept their Mosques? Why do we tolerate this scum? And they want to continue to import this filth?,"For an individual disrespecting someone else's religion, you sure are angry about an individual disrespecting someone else's religion.",Humor,MUSLIMS
"Look around you, rape is jihad in the UK. I can remember days when Islam was not here, and now muslim rapists are everywhere.",How many Muslim rapists are there? How many Britain rapists? Compare the numbers and make a conclusion for yourself!,Question,MUSLIMS
